title,source,authors_year,identifier,url,verification_status,notes
Interpretable RNA foundation model from unannotated data for highly accurate RNA structure and function predictions (RNA-FM),Bioinformatics 38(22):5037-5043,"Chen, Hu, Sun, Zhan, Yin, Hu, Yang, Tan, Shen, Chen, Zhang, Liu, Yang, Wang, Jiang, Pan, Zhang, Gao, Chen & Yu (2022)",DOI 10.1093/bioinformatics/btac608,https://doi.org/10.1093/bioinformatics/btac608,待核验,RNA 基础模型基线与骨干选项（Q6 应答）。identifier 未联网核验。
RiNALMo: general-purpose RNA language models can generalize well on structure prediction tasks,Nature Communications 16:5671 (2025),"Penic, Vlašić, Huber, Wan & Šikić (2025)",Nat Commun 16:5671 (2025),,待核验,identifier 由 spec 给出；卷:文章号已记录，DOI 未联网核验故留空 url。650M 骨干选项。
mRNABERT: a foundation language model for mRNA sequence analysis,Nature Communications 16:10371 (2025),（作者列表待核验）(2025),Nat Commun 16:10371 (2025),,待核验,identifier 由 spec 给出；本项目已落盘其官方权重 YYLY66/mRNABERT（74 词表，无 ## 续接词）。作者列表与 DOI 待核验。
Conditional diffusion model for RNA secondary structure prediction (CDPFold),（待核验：期刊/会议未确认）,（待核验）,,,待核验,【阻塞项】同为'免 DP 直接输出配对概率矩阵'，直接威胁 C1 新颖性（spec §0.8 问题 6 / §0.9.4）。标题、作者、年份、标识符均未确认，故全部留待核验，禁止猜填。Task 10.8 前必须补齐。
bpRNA: large-scale automated annotation and analysis of RNA secondary structure,Nucleic Acids Research 46(11):5381-5394,"Danaee, Rouhana, Masson, Bouyioukos, Kister & Aghajanian (2018)",DOI 10.1093/nar/gky285,https://doi.org/10.1093/nar/gky285,待核验,bpRNA-1m 主训练集来源；其 TR0/TS0/VL0 划分与冗余问题见 spec §3.3。identifier 未联网核验。
ArchiveII: a comprehensive comparison of RNA secondary structure prediction methods (test set compilation),Nucleic Acids Research 44(13):e117,Sloma & Mathews (2016),DOI 10.1093/nar/gkw408,https://doi.org/10.1093/nar/gkw408,待核验,主基准集；须去冗余版 + 原始版双报告（G4/Q9）。identifier 未联网核验。
The Comparative RNA Web (CRW) Site: an online database of comparative sequence and structure information (RNAStrAlign),BMC Bioinformatics 3:2,"Cannone, Subramanian, Schnare, Collett, D'Souza, Du, Feng, Lin, Madabusi, Müller, Pande, Shang, Yu & Gutell (2002)",DOI 10.1186/1471-2105-3-2,https://doi.org/10.1186/1471-2105-3-2,待核验,RNAStrAlign 来源；与 ArchiveII 有重叠，须交叉去冗余（spec §3.3）。identifier 未联网核验。
RNA-Puzzles: a CASP-like evaluation of RNA three-dimensional structure prediction,RNA 18(4):610-625,"Cruz, Blanchet, Boniecki, Bujnicki, Chen, Cao, Das, Ding, Dokholyan, Flores, Huang, Lavender, Lisi, Major, Mikolajczyk, Patel, Philips, Puton, Santalucia, Sijenyi, Hermann, Rother, Rother, Merino, Meyer, Peselis, Popenda, Purzycka, Serganov, Stasiewicz, Szachniuk, Tandon, Tian, Wang, Xiao, Xu, Zhang, Zhao, Zok & Westhof (2012)",DOI 10.1261/rna.030726.111,https://doi.org/10.1261/rna.030726.111,待核验,盲测基准，仅评测绝不进训练（spec §3.3）。identifier 未联网核验。
Rfam: the RNA families database,Nucleic Acids Research (database issue),（版本与作者列表待核验）,,,待核验,家族级划分（C2）与 Rfam clan 分组的依据。identifier 与版本未确认，禁止猜填；使用前须锁定版本号。
"PseudoBase++: an extension of PseudoBase for easy searching, formatting and visualization of pseudoknots",Nucleic Acids Research,（作者列表待核验）,,,待核验,T2 假结任务数据源（spec §3.3）；规模小，仅够受限类别评测。identifier 未确认。
bpRNA-new (low-homology subset of bpRNA),bpRNA 论文的附带数据集 / bprna.cgrb.oregonstate.edu,Danaee et al. (2018)（子集）,,,待核验,跨家族 OOD 主评测集，不可用于训练（spec §3.3）。独立标识符未确认，随 bpRNA 站点状态待实测（Task 2）。
Jev / TypeSafe AI decision model (product announcement),厂商发布（TypeSafe AI），2026-09-15,TypeSafe AI / Diogo Almeida (2026),无标识符——**不存在同行评审论文或技术报告**,,待核验,【证据等级：厂商主张】截至本登记，Jev 无公开发表的论文或技术报告。架构描述（421M encoder + 2 层决策头、单次前向读 option logits、output_tokens ≡ 0）为**社区复刻二级证据**；性能数字（193×、70–500 ms、$0.042/M token）为**厂商自测、待核验**，不得作为事实引用。RLCD 算法**完全未公开**，本文目标须标注为'RLCD 启发式自设计目标'（spec §0.3 / §5.8.4）。
RNA secondary structure prediction using an ensemble of two-dimensional deep neural networks and transfer learning (SPOT-RNA),Nat Commun 10:5407,"Singh, Hanson, Paliwal & Zhou (2019)",PMID 31776342 / doi:10.1038/s41467-019-13395-9,https://doi.org/10.1038/s41467-019-13395-9,已核验,PubMed esummary 核验（2026-09-25，本地网络）。
UFold: fast and accurate RNA secondary structure prediction with deep learning,Nucleic Acids Res 50(3):e14,"Fu, Cao, Wu, Peng, Nie & Xie (2022)",PMID 34792173 / doi:10.1093/nar/gkab1074,https://doi.org/10.1093/nar/gkab1074,已核验,PubMed esummary 核验。
RNA secondary structure prediction using deep learning with thermodynamic integration (MXfold2),Nat Commun 12:941,"Sato, Akiyama & Sakakibara (2021)",PMID 33574226 / doi:10.1038/s41467-021-21194-4,https://doi.org/10.1038/s41467-021-21194-4,已核验,PubMed esummary 核验。
Scalable deep learning for RNA secondary structure prediction (RNAformer),arXiv:2307.10073 (ICML 2023 CompBio WS),"Franke, Runge & Hutter (2023)",arXiv:2307.10073 / doi:10.48550/arXiv.2307.10073,https://arxiv.org/abs/2307.10073,已核验,arXiv 页面核验（标题/作者/DOI 全对）。TS0 已发表 F1=0.728 的出处。
RiNALMo: general-purpose RNA language models can generalize well on structure prediction tasks,Nat Commun 16:5671,"Penic, Vlasic, Huber, Wan & Sikic (2025)",PMID 40593636 / doi:10.1038/s41467-025-60872-5,https://doi.org/10.1038/s41467-025-60872-5,已核验,PubMed esummary 核验。
bpRNA: large-scale automated annotation and analysis of RNA secondary structure,Nucleic Acids Res 46(11):5381-5394,"Danaee, Rouches, Wiley, Deng, Huang & Hendrix (2018)",PMID 29746666 / doi:10.1093/nar/gky285,https://doi.org/10.1093/nar/gky285,已核验,PubMed esummary 核验。
